"PROT","HOLD","FEAT","CLASS","IMP","value","sd"
"HA","H4N6","CTDc","Hominidae",0.0298,0.942499738229504,0.00670401073041758
"HA","H4N6","CTDc","Phyllostomidae",0.0019,0.953321469805051,0.010562499627328
"HA","H4N6","CTDc","Suidae",0.0539,0.949040668164404,0.00594699513167562
"HA","H4N6","CTDd","Canidae",0.0017,0.958737040526291,0.00482596598377858
"HA","H4N6","CTDd","Equidae",0.0025,0.948362960571918,0.00755956007854546
"HA","H4N6","CTDd","Hominidae",0.0624,0.965274667808254,0.00520557225393332
"HA","H4N6","CTDd","Phyllostomidae",0.0012,0.942499738229504,0.00670401073041758
"HA","H4N6","CTDd","Suidae",0.0806,0.953321469805051,0.010562499627328
"HA","H4N6","CTDt","Canidae",0.0081,0.949040668164404,0.00594699513167562
"HA","H4N6","CTDt","Equidae",0.0013,0.958737040526291,0.00482596598377858
"HA","H4N6","CTDt","Hominidae",0.0359,0.948362960571918,0.00755956007854546
"HA","H4N6","CTDt","Phyllostomidae",6e-04,0.965274667808254,0.00520557225393332
"HA","H4N6","CTDt","Suidae",0.0604,0.942499738229504,0.00670401073041758
"HA","H4N6","triad","Canidae",0.0074,0.953321469805051,0.010562499627328
"HA","H4N6","triad","Equidae",0.0049,0.949040668164404,0.00594699513167562
"HA","H4N6","triad","Hominidae",0.0508,0.958737040526291,0.00482596598377858
"HA","H4N6","triad","Phyllostomidae",0.0014,0.948362960571918,0.00755956007854546
"HA","H4N6","triad","Suidae",0.0842,0.965274667808254,0.00520557225393332
"HA","H4N6","pseaac","Canidae",0.0027,0.942499738229504,0.00670401073041758
"HA","H4N6","pseaac","Equidae",0.003,0.953321469805051,0.010562499627328
"HA","H4N6","pseaac","Hominidae",0.0336,0.949040668164404,0.00594699513167562
"HA","H4N6","pseaac","Phyllostomidae",8e-04,0.958737040526291,0.00482596598377858
"HA","H4N6","pseaac","Suidae",0.0614,0.948362960571918,0.00755956007854546
"HA","H5N1","two_mer","Canidae",0.0142,0.966705116495864,0.00452465381459007
"HA","H5N1","two_mer","Equidae",0.0105,0.944907541290693,0.0135059969209549
